timestamp,market,timeframe,up_price,down_price,volume,outcome
2026-01-01T05:00:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:05:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:05:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:10:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:10:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:15:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:15:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:20:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:20:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:25:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:25:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:30:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:30:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:35:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:35:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:40:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:40:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:45:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:45:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:50:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T05:50:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:55:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T05:55:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T06:00:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:00:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:05:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:05:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:10:00Z,BTC-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:10:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:15:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T06:15:00Z,ETH-USD-5M-PM,5m,0,1,0,up
2026-01-01T06:20:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T06:20:00Z,ETH-USD-5M-PM,5m,0,1,0,down
2026-01-01T06:25:00Z,BTC-USD-5M-PM,5m,0,1,0,up
2026-01-01T06:25:00Z,ETH-USD-5M-PM,5m,0,1,0,down
