timestamp,market,timeframe,up_price,down_price,volume,outcome,slug
2026-03-23T20:00:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774295700
2026-03-23T20:05:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774296000
2026-03-23T20:10:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774296300
2026-03-23T20:15:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774296600
2026-03-23T20:20:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774296900
2026-03-23T20:25:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774297200
2026-03-23T20:30:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774297500
2026-03-23T20:35:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774297800
2026-03-23T20:40:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774298100
2026-03-23T20:45:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774298400
2026-03-23T20:50:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774298700
2026-03-23T20:55:00Z,ETH-USD-5M-PM,5m,0.999,0.001,NaN,up,eth-updown-5m-1774299000
2026-03-23T21:00:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774299300
2026-03-23T21:05:00Z,ETH-USD-5M-PM,5m,0.001,0.999,NaN,down,eth-updown-5m-1774299600
2026-03-23T21:10:00Z,ETH-USD-5M-PM,5m,0.001,0.999,NaN,down,eth-updown-5m-1774299900
2026-03-23T21:15:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774300200
2026-03-23T21:20:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774300500
2026-03-23T21:25:00Z,ETH-USD-5M-PM,5m,0.999,0.001,NaN,up,eth-updown-5m-1774300800
2026-03-23T21:30:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774301100
2026-03-23T21:35:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774301400
2026-03-23T21:40:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774301700
2026-03-23T21:45:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774302000
2026-03-23T21:50:00Z,ETH-USD-5M-PM,5m,0.001,0.999,NaN,down,eth-updown-5m-1774302300
2026-03-23T21:55:00Z,ETH-USD-5M-PM,5m,0.99,0.01,NaN,up,eth-updown-5m-1774302600
2026-03-23T22:00:00Z,ETH-USD-5M-PM,5m,0.01,0.99,NaN,down,eth-updown-5m-1774302900
